newindex,BaseDateTime,coordinate,envelope
10,2017-01-31T15:12:44,POINT (-80.03602478906093 25.72302551520009),"POLYGON ((-80.05602478906093 25.70302551520009, -80.01602478906094 25.70302551520009, -80.01602478906094 25.74302551520009, -80.05602478906093 25.74302551520009, -80.05602478906093 25.70302551520009))"
11,2017-01-31T15:12:20,POINT (-80.03636368311479 25.74397624571573),"POLYGON ((-80.05636368311478 25.72397624571573, -80.01636368311479 25.72397624571573, -80.01636368311479 25.76397624571573, -80.05636368311478 25.76397624571573, -80.05636368311478 25.72397624571573))"
12,2017-01-31T15:12:21,POINT (-80.04214702573231 25.81307030559893),"POLYGON ((-80.0621470257323 25.79307030559893, -80.02214702573231 25.79307030559893, -80.02214702573231 25.83307030559893, -80.0621470257323 25.83307030559893, -80.0621470257323 25.79307030559893))"
13,2017-01-31T15:12:02,POINT (-79.89491006465265 26.07060572730769),"POLYGON ((-79.91491006465264 26.05060572730769, -79.87491006465265 26.05060572730769, -79.87491006465265 26.09060572730769, -79.91491006465264 26.09060572730769, -79.91491006465264 26.05060572730769))"
14,2017-01-31T15:11:14,POINT (-80.02368427111816 25.73519561555204),"POLYGON ((-80.04368427111815 25.71519561555204, -80.00368427111816 25.71519561555204, -80.00368427111816 25.75519561555204, -80.04368427111815 25.75519561555204, -80.04368427111815 25.71519561555204))"
15,2017-01-31T21:22:00,POINT (-80.04559100419137 26.1872361554679),"POLYGON ((-80.06559100419136 26.1672361554679, -80.02559100419137 26.1672361554679, -80.02559100419137 26.2072361554679, -80.06559100419136 26.2072361554679, -80.06559100419136 26.1672361554679))"
16,2017-01-24T15:12:28,POINT (-80.14084669509278 25.70311574271051),"POLYGON ((-80.16084669509277 25.68311574271051, -80.12084669509278 25.68311574271051, -80.12084669509278 25.72311574271051, -80.16084669509277 25.72311574271051, -80.16084669509277 25.68311574271051))"
17,2017-01-31T15:12:25,POINT (-80.07869133275395 26.03541524252883),"POLYGON ((-80.09869133275394 26.01541524252884, -80.05869133275395 26.01541524252884, -80.05869133275395 26.05541524252883, -80.09869133275394 26.05541524252883, -80.09869133275394 26.01541524252884))"
18,2017-01-31T15:12:37,POINT (-80.04507714175045 25.81535002372981),"POLYGON ((-80.06507714175045 25.79535002372981, -80.02507714175046 25.79535002372981, -80.02507714175046 25.83535002372981, -80.06507714175045 25.83535002372981, -80.06507714175045 25.79535002372981))"
19,2017-01-31T15:11:14,POINT (-80.02887569660912 25.7770814415313),"POLYGON ((-80.04887569660912 25.7570814415313, -80.00887569660912 25.7570814415313, -80.00887569660912 25.7970814415313, -80.04887569660912 25.7970814415313, -80.04887569660912 25.7570814415313))"
20,2017-01-31T15:11:27,POINT (-80.04321340989631 25.80241123651487),"POLYGON ((-80.06321340989631 25.78241123651487, -80.02321340989631 25.78241123651487, -80.02321340989631 25.82241123651487, -80.06321340989631 25.82241123651487, -80.06321340989631 25.78241123651487))"
21,2017-01-24T15:11:17,POINT (-80.13211065984491 25.70142597413234),"POLYGON ((-80.15211065984491 25.68142597413234, -80.11211065984492 25.68142597413234, -80.11211065984492 25.72142597413234, -80.15211065984491 25.72142597413234, -80.15211065984491 25.68142597413234))"
22,2017-01-31T15:12:58,POINT (-79.90084735137428 26.06666488766413),"POLYGON ((-79.92084735137428 26.04666488766413, -79.88084735137429 26.04666488766413, -79.88084735137429 26.08666488766413, -79.92084735137428 26.08666488766413, -79.92084735137428 26.04666488766413))"
23,2017-02-02T15:12:54,POINT (-79.88125128518223 26.78137056677961),"POLYGON ((-79.90125128518223 26.76137056677961, -79.86125128518223 26.76137056677961, -79.86125128518223 26.80137056677961, -79.90125128518223 26.80137056677961, -79.90125128518223 26.76137056677961))"
24,2017-02-02T15:11:52,POINT (-79.83287767539832 26.74891693838144),"POLYGON ((-79.85287767539832 26.72891693838145, -79.81287767539833 26.72891693838145, -79.81287767539833 26.76891693838144, -79.85287767539832 26.76891693838144, -79.85287767539832 26.72891693838145))"
25,2017-02-02T15:12:41,POINT (-80.06482461068481 25.93667838353021),"POLYGON ((-80.08482461068481 25.91667838353021, -80.04482461068481 25.91667838353021, -80.04482461068481 25.95667838353021, -80.08482461068481 25.95667838353021, -80.08482461068481 25.91667838353021))"
26,2017-02-02T15:11:58,POINT (-80.04422142643995 26.04825126201123),"POLYGON ((-80.06422142643994 26.02825126201123, -80.02422142643995 26.02825126201123, -80.02422142643995 26.06825126201123, -80.06422142643994 26.06825126201123, -80.06422142643994 26.02825126201123))"
27,2017-02-06T18:54:27,POINT (-80.04195165541894 25.93817496661633),"POLYGON ((-80.06195165541894 25.91817496661633, -80.02195165541895 25.91817496661633, -80.02195165541895 25.95817496661633, -80.06195165541894 25.95817496661633, -80.06195165541894 25.91817496661633))"
28,2017-02-09T18:13:04,POINT (-80.11293244496758 25.70565322530193),"POLYGON ((-80.13293244496758 25.68565322530193, -80.09293244496759 25.68565322530193, -80.09293244496759 25.72565322530193, -80.13293244496758 25.72565322530193, -80.13293244496758 25.68565322530193))"
29,2017-02-12T16:32:00,POINT (-80.04370098851973 25.80340205771812),"POLYGON ((-80.06370098851973 25.78340205771812, -80.02370098851974 25.78340205771812, -80.02370098851974 25.82340205771812, -80.06370098851973 25.82340205771812, -80.06370098851973 25.78340205771812))"
30,2017-02-12T16:31:06,POINT (-80.05625999007871 25.8382275218646),"POLYGON ((-80.07625999007871 25.8182275218646, -80.03625999007872 25.8182275218646, -80.03625999007872 25.8582275218646, -80.07625999007871 25.8582275218646, -80.07625999007871 25.8182275218646))"
31,2017-02-12T16:31:03,POINT (-80.09215817237383 25.80558459512479),"POLYGON ((-80.11215817237382 25.78558459512479, -80.07215817237383 25.78558459512479, -80.07215817237383 25.82558459512479, -80.11215817237382 25.82558459512479, -80.11215817237382 25.78558459512479))"
32,2017-02-12T16:31:09,POINT (-80.0672420145891 25.84018594865877),"POLYGON ((-80.08724201458909 25.82018594865877, -80.0472420145891 25.82018594865877, -80.0472420145891 25.86018594865877, -80.08724201458909 25.86018594865877, -80.08724201458909 25.82018594865877))"
33,2017-02-12T16:32:49,POINT (-80.07106115135448 25.82822885104347),"POLYGON ((-80.09106115135448 25.80822885104347, -80.05106115135449 25.80822885104347, -80.05106115135449 25.84822885104347, -80.09106115135448 25.84822885104347, -80.09106115135448 25.80822885104347))"
34,2017-02-12T16:32:12,POINT (-80.07607807010447 25.83670560523296),"POLYGON ((-80.09607807010447 25.81670560523296, -80.05607807010448 25.81670560523296, -80.05607807010448 25.85670560523296, -80.09607807010447 25.85670560523296, -80.09607807010447 25.81670560523296))"
35,2017-02-12T16:32:07,POINT (-80.12402561262665 25.73023659698988),"POLYGON ((-80.14402561262665 25.71023659698988, -80.10402561262666 25.71023659698988, -80.10402561262666 25.75023659698988, -80.14402561262665 25.75023659698988, -80.14402561262665 25.71023659698988))"
36,2017-02-17T14:38:57,POINT (-80.03971601859595 26.30420303317528),"POLYGON ((-80.05971601859595 26.28420303317528, -80.01971601859596 26.28420303317528, -80.01971601859596 26.32420303317528, -80.05971601859595 26.32420303317528, -80.05971601859595 26.28420303317528))"
37,2017-02-17T14:37:54,POINT (-80.01522904258577 26.35799551382114),"POLYGON ((-80.03522904258577 26.33799551382114, -79.99522904258578 26.33799551382114, -79.99522904258578 26.37799551382114, -80.03522904258577 26.37799551382114, -80.03522904258577 26.33799551382114))"
38,2017-02-17T14:37:32,POINT (-79.97775196045882 26.38012953297752),"POLYGON ((-79.99775196045881 26.36012953297752, -79.95775196045882 26.36012953297752, -79.95775196045882 26.40012953297752, -79.99775196045881 26.40012953297752, -79.99775196045881 26.36012953297752))"
39,2017-02-17T14:38:06,POINT (-79.99411053448981 26.38562504477648),"POLYGON ((-80.0141105344898 26.36562504477648, -79.97411053448981 26.36562504477648, -79.97411053448981 26.40562504477648, -80.0141105344898 26.40562504477648, -80.0141105344898 26.36562504477648))"
40,2017-02-17T14:37:29,POINT (-80.03696633648654 26.30164390600089),"POLYGON ((-80.05696633648654 26.28164390600089, -80.01696633648655 26.28164390600089, -80.01696633648655 26.32164390600089, -80.05696633648654 26.32164390600089, -80.05696633648654 26.28164390600089))"
41,2017-02-17T14:37:48,POINT (-79.99428529355518 26.32123247111414),"POLYGON ((-80.01428529355518 26.30123247111414, -79.97428529355518 26.30123247111414, -79.97428529355518 26.34123247111414, -80.01428529355518 26.34123247111414, -80.01428529355518 26.30123247111414))"
42,2017-02-17T14:38:46,POINT (-80.03663958944483 26.28663635068848),"POLYGON ((-80.05663958944483 26.26663635068848, -80.01663958944484 26.26663635068848, -80.01663958944484 26.30663635068847, -80.05663958944483 26.30663635068847, -80.05663958944483 26.26663635068848))"
43,2017-02-17T14:38:34,POINT (-79.97402472190541 26.39109698918514),"POLYGON ((-79.9940247219054 26.37109698918514, -79.95402472190541 26.37109698918514, -79.95402472190541 26.41109698918514, -79.9940247219054 26.41109698918514, -79.9940247219054 26.37109698918514))"
44,2017-02-17T14:37:38,POINT (-80.01048214545543 26.36963695847263),"POLYGON ((-80.03048214545542 26.34963695847263, -79.99048214545543 26.34963695847263, -79.99048214545543 26.38963695847263, -80.03048214545542 26.38963695847263, -80.03048214545542 26.34963695847263))"
45,2017-02-17T14:38:48,POINT (-80.03972262322517 26.2887161977566),"POLYGON ((-80.05972262322517 26.2687161977566, -80.01972262322518 26.2687161977566, -80.01972262322518 26.3087161977566, -80.05972262322517 26.3087161977566, -80.05972262322517 26.2687161977566))"
46,2017-02-17T14:37:36,POINT (-80.03824118591054 26.29649362329784),"POLYGON ((-80.05824118591053 26.27649362329784, -80.01824118591054 26.27649362329784, -80.01824118591054 26.31649362329784, -80.05824118591053 26.31649362329784, -80.05824118591053 26.27649362329784))"
47,2017-02-26T19:50:19,POINT (-80.03605862525046 25.83573204866224),"POLYGON ((-80.05605862525046 25.81573204866224, -80.01605862525047 25.81573204866224, -80.01605862525047 25.85573204866224, -80.05605862525046 25.85573204866224, -80.05605862525046 25.81573204866224))"
48,2017-02-17T14:38:46,POINT (-80.00224501148637 26.39590429261927),"POLYGON ((-80.02224501148636 26.37590429261927, -79.98224501148637 26.37590429261927, -79.98224501148637 26.41590429261927, -80.02224501148636 26.41590429261927, -80.02224501148636 26.37590429261927))"
49,2017-02-17T14:37:36,POINT (-80.03273626724429 26.38618819525579),"POLYGON ((-80.05273626724428 26.36618819525579, -80.01273626724429 26.36618819525579, -80.01273626724429 26.40618819525579, -80.05273626724428 26.40618819525579, -80.05273626724428 26.36618819525579))"
50,2017-03-05T15:11:41,POINT (-79.99508669064048 26.56276135185809),"POLYGON ((-80.01508669064047 26.54276135185809, -79.97508669064048 26.54276135185809, -79.97508669064048 26.58276135185809, -80.01508669064047 26.58276135185809, -80.01508669064047 26.54276135185809))"
51,2017-03-05T15:12:03,POINT (-80.1019263173618 25.83839054329103),"POLYGON ((-80.1219263173618 25.81839054329103, -80.08192631736181 25.81839054329103, -80.08192631736181 25.85839054329103, -80.1219263173618 25.85839054329103, -80.1219263173618 25.81839054329103))"
52,2017-03-05T15:12:51,POINT (-79.99313080352572 26.55808824149773),"POLYGON ((-80.01313080352571 26.53808824149773, -79.97313080352572 26.53808824149773, -79.97313080352572 26.57808824149773, -80.01313080352571 26.57808824149773, -80.01313080352571 26.53808824149773))"
53,2017-03-11T15:12:16,POINT (-80.00049045822067 25.83828993335983),"POLYGON ((-80.02049045822066 25.81828993335983, -79.98049045822067 25.81828993335983, -79.98049045822067 25.85828993335983, -80.02049045822066 25.85828993335983, -80.02049045822066 25.81828993335983))"
54,2017-03-11T15:12:16,POINT (-80.02676426303806 25.8405023703097),"POLYGON ((-80.04676426303806 25.8205023703097, -80.00676426303806 25.8205023703097, -80.00676426303806 25.8605023703097, -80.04676426303806 25.8605023703097, -80.04676426303806 25.8205023703097))"
55,2017-03-11T15:13:44,POINT (-80.04680286444153 25.80628749219341),"POLYGON ((-80.06680286444153 25.78628749219341, -80.02680286444154 25.78628749219341, -80.02680286444154 25.82628749219341, -80.06680286444153 25.82628749219341, -80.06680286444153 25.78628749219341))"
56,2017-03-11T15:12:03,POINT (-80.04810793884064 25.87978646578195),"POLYGON ((-80.06810793884064 25.85978646578195, -80.02810793884065 25.85978646578195, -80.02810793884065 25.89978646578195, -80.06810793884064 25.89978646578195, -80.06810793884064 25.85978646578195))"
57,2017-03-11T15:13:12,POINT (-80.07589813480442 25.81240703476532),"POLYGON ((-80.09589813480441 25.79240703476532, -80.05589813480442 25.79240703476532, -80.05589813480442 25.83240703476532, -80.09589813480441 25.83240703476532, -80.09589813480441 25.79240703476532))"
58,2017-03-11T15:13:46,POINT (-79.93211668040927 25.84177979669703),"POLYGON ((-79.95211668040926 25.82177979669703, -79.91211668040927 25.82177979669703, -79.91211668040927 25.86177979669703, -79.95211668040926 25.86177979669703, -79.95211668040926 25.82177979669703))"
59,2017-03-11T15:12:02,POINT (-80.05556484362991 25.77415168315913),"POLYGON ((-80.07556484362991 25.75415168315913, -80.03556484362991 25.75415168315913, -80.03556484362991 25.79415168315913, -80.07556484362991 25.79415168315913, -80.07556484362991 25.75415168315913))"
60,2017-03-11T15:13:05,POINT (-80.09983267675607 25.81138051472503),"POLYGON ((-80.11983267675606 25.79138051472503, -80.07983267675607 25.79138051472503, -80.07983267675607 25.83138051472503, -80.11983267675606 25.83138051472503, -80.11983267675606 25.79138051472503))"
61,2017-03-11T15:13:26,POINT (-80.03252060167522 25.74014463369069),"POLYGON ((-80.05252060167521 25.72014463369069, -80.01252060167522 25.72014463369069, -80.01252060167522 25.76014463369069, -80.05252060167521 25.76014463369069, -80.05252060167521 25.72014463369069))"
62,2017-03-11T15:13:32,POINT (-80.11280214684614 25.89454321059409),"POLYGON ((-80.13280214684613 25.87454321059409, -80.09280214684614 25.87454321059409, -80.09280214684614 25.91454321059409, -80.13280214684613 25.91454321059409, -80.13280214684613 25.87454321059409))"
63,2017-03-11T15:12:04,POINT (-80.05317477541145 25.78577183317966),"POLYGON ((-80.07317477541145 25.76577183317966, -80.03317477541145 25.76577183317966, -80.03317477541145 25.80577183317966, -80.07317477541145 25.80577183317966, -80.07317477541145 25.76577183317966))"
64,2017-03-11T15:13:48,POINT (-80.09703889177618 25.80004128839849),"POLYGON ((-80.11703889177618 25.78004128839849, -80.07703889177618 25.78004128839849, -80.07703889177618 25.82004128839849, -80.11703889177618 25.82004128839849, -80.11703889177618 25.78004128839849))"
65,2017-03-16T15:10:48,POINT (-80.12833254563026 25.72378867924443),"POLYGON ((-80.14833254563025 25.70378867924443, -80.10833254563026 25.70378867924443, -80.10833254563026 25.74378867924443, -80.14833254563025 25.74378867924443, -80.14833254563025 25.70378867924443))"
66,2017-03-16T15:10:42,POINT (-80.06378559632618 26.03324755110578),"POLYGON ((-80.08378559632618 26.01324755110578, -80.04378559632619 26.01324755110578, -80.04378559632619 26.05324755110578, -80.08378559632618 26.05324755110578, -80.08378559632618 26.01324755110578))"
67,2017-03-16T15:09:57,POINT (-80.13357027957582 25.7237965008657),"POLYGON ((-80.15357027957582 25.7037965008657, -80.11357027957582 25.7037965008657, -80.11357027957582 25.7437965008657, -80.15357027957582 25.7437965008657, -80.15357027957582 25.7037965008657))"
68,2017-03-16T15:09:06,POINT (-80.02723261978643 26.179487904719),"POLYGON ((-80.04723261978643 26.159487904719, -80.00723261978644 26.159487904719, -80.00723261978644 26.199487904719, -80.04723261978643 26.199487904719, -80.04723261978643 26.159487904719))"
69,2017-03-16T15:10:19,POINT (-79.97983974374077 26.05762367395623),"POLYGON ((-79.99983974374076 26.03762367395623, -79.95983974374077 26.03762367395623, -79.95983974374077 26.07762367395623, -79.99983974374076 26.07762367395623, -79.99983974374076 26.03762367395623))"
70,2017-03-16T15:09:38,POINT (-80.12399337741623 25.71829153662673),"POLYGON ((-80.14399337741622 25.69829153662673, -80.10399337741623 25.69829153662673, -80.10399337741623 25.73829153662673, -80.14399337741622 25.73829153662673, -80.14399337741622 25.69829153662673))"
71,2017-03-16T15:09:10,POINT (-79.96812715403945 26.0535191177191),"POLYGON ((-79.98812715403945 26.0335191177191, -79.94812715403945 26.0335191177191, -79.94812715403945 26.0735191177191, -79.98812715403945 26.0735191177191, -79.98812715403945 26.0335191177191))"
72,2017-03-16T15:09:23,POINT (-80.04306956745062 26.01860464090241),"POLYGON ((-80.06306956745061 25.99860464090241, -80.02306956745062 25.99860464090241, -80.02306956745062 26.03860464090241, -80.06306956745061 26.03860464090241, -80.06306956745061 25.99860464090241))"
73,2017-03-16T15:10:31,POINT (-80.08359355889789 25.94392987090933),"POLYGON ((-80.10359355889788 25.92392987090933, -80.06359355889789 25.92392987090933, -80.06359355889789 25.96392987090933, -80.10359355889788 25.96392987090933, -80.10359355889788 25.92392987090933))"
74,2017-03-16T15:09:35,POINT (-80.09178028767313 25.72951102880713),"POLYGON ((-80.11178028767313 25.70951102880713, -80.07178028767314 25.70951102880713, -80.07178028767314 25.74951102880713, -80.11178028767313 25.74951102880713, -80.11178028767313 25.70951102880713))"
75,2017-03-20T15:13:03,POINT (-80.04055302892023 26.0324425098414),"POLYGON ((-80.06055302892022 26.0124425098414, -80.02055302892023 26.0124425098414, -80.02055302892023 26.0524425098414, -80.06055302892022 26.0524425098414, -80.06055302892022 26.0124425098414))"
76,2017-03-20T15:13:27,POINT (-80.06265320092267 26.02568204649244),"POLYGON ((-80.08265320092266 26.00568204649244, -80.04265320092267 26.00568204649244, -80.04265320092267 26.04568204649244, -80.08265320092266 26.04568204649244, -80.08265320092266 26.00568204649244))"
77,2017-03-20T15:12:16,POINT (-79.98916379864993 26.3490220220868),"POLYGON ((-80.00916379864992 26.3290220220868, -79.96916379864993 26.3290220220868, -79.96916379864993 26.3690220220868, -80.00916379864992 26.3690220220868, -80.00916379864992 26.3290220220868))"
78,2017-03-20T15:12:31,POINT (-80.06884412725542 26.16266181812174),"POLYGON ((-80.08884412725541 26.14266181812174, -80.04884412725542 26.14266181812174, -80.04884412725542 26.18266181812174, -80.08884412725541 26.18266181812174, -80.08884412725541 26.14266181812174))"
79,2017-03-20T15:13:42,POINT (-79.99312639998969 26.05767699621038),"POLYGON ((-80.01312639998969 26.03767699621038, -79.9731263999897 26.03767699621038, -79.9731263999897 26.07767699621038, -80.01312639998969 26.07767699621038, -80.01312639998969 26.03767699621038))"
80,2017-03-20T15:13:14,POINT (-80.0769944476543 26.02937530944205),"POLYGON ((-80.0969944476543 26.00937530944205, -80.0569944476543 26.00937530944205, -80.0569944476543 26.04937530944205, -80.0969944476543 26.04937530944205, -80.0969944476543 26.00937530944205))"
81,2017-03-20T15:13:19,POINT (-80.02408892475664 26.1571753041196),"POLYGON ((-80.04408892475664 26.13717530411961, -80.00408892475664 26.13717530411961, -80.00408892475664 26.1771753041196, -80.04408892475664 26.1771753041196, -80.04408892475664 26.13717530411961))"
82,2017-03-20T15:13:26,POINT (-80.05121148248952 26.24244604407285),"POLYGON ((-80.07121148248952 26.22244604407285, -80.03121148248952 26.22244604407285, -80.03121148248952 26.26244604407285, -80.07121148248952 26.26244604407285, -80.07121148248952 26.22244604407285))"
83,2017-03-20T15:12:22,POINT (-79.95868657083555 25.98597578393391),"POLYGON ((-79.97868657083555 25.96597578393391, -79.93868657083556 25.96597578393391, -79.93868657083556 26.00597578393391, -79.97868657083555 26.00597578393391, -79.97868657083555 25.96597578393391))"
84,2017-03-20T15:12:09,POINT (-80.01776061851933 25.92282055181766),"POLYGON ((-80.03776061851933 25.90282055181766, -79.99776061851934 25.90282055181766, -79.99776061851934 25.94282055181766, -80.03776061851933 25.94282055181766, -80.03776061851933 25.90282055181766))"
85,2017-03-20T15:13:18,POINT (-79.99227837118359 26.05488537663384),"POLYGON ((-80.01227837118358 26.03488537663384, -79.97227837118359 26.03488537663384, -79.97227837118359 26.07488537663384, -80.01227837118358 26.07488537663384, -80.01227837118358 26.03488537663384))"
86,2017-03-20T15:13:39,POINT (-80.00300688872703 25.9171744048889),"POLYGON ((-80.02300688872702 25.8971744048889, -79.98300688872703 25.8971744048889, -79.98300688872703 25.9371744048889, -80.02300688872702 25.9371744048889, -80.02300688872702 25.8971744048889))"
87,2017-03-20T15:13:32,POINT (-79.97672505570205 26.34160345836904),"POLYGON ((-79.99672505570204 26.32160345836904, -79.95672505570205 26.32160345836904, -79.95672505570205 26.36160345836904, -79.99672505570204 26.36160345836904, -79.99672505570204 26.32160345836904))"
88,2017-03-20T15:12:02,POINT (-80.04556190045142 26.04371698644453),"POLYGON ((-80.06556190045141 26.02371698644453, -80.02556190045142 26.02371698644453, -80.02556190045142 26.06371698644453, -80.06556190045141 26.06371698644453, -80.06556190045141 26.02371698644453))"
89,2017-03-20T15:12:42,POINT (-80.02283753528408 26.17792211137042),"POLYGON ((-80.04283753528408 26.15792211137042, -80.00283753528409 26.15792211137042, -80.00283753528409 26.19792211137042, -80.04283753528408 26.19792211137042, -80.04283753528408 26.15792211137042))"
90,2017-03-20T15:12:05,POINT (-80.05768174954673 26.23020001766306),"POLYGON ((-80.07768174954673 26.21020001766306, -80.03768174954673 26.21020001766306, -80.03768174954673 26.25020001766306, -80.07768174954673 26.25020001766306, -80.07768174954673 26.21020001766306))"
91,2017-03-20T15:12:21,POINT (-79.98037287113101 26.36553732938248),"POLYGON ((-80.00037287113101 26.34553732938248, -79.96037287113101 26.34553732938248, -79.96037287113101 26.38553732938248, -80.00037287113101 26.38553732938248, -80.00037287113101 26.34553732938248))"
92,2017-03-20T15:13:09,POINT (-80.03327393430074 25.79324824039876),"POLYGON ((-80.05327393430073 25.77324824039876, -80.01327393430074 25.77324824039876, -80.01327393430074 25.81324824039876, -80.05327393430073 25.81324824039876, -80.05327393430073 25.77324824039876))"
93,2017-03-20T15:12:55,POINT (-79.98810198756631 26.43580251836064),"POLYGON ((-80.00810198756631 26.41580251836064, -79.96810198756631 26.41580251836064, -79.96810198756631 26.45580251836064, -80.00810198756631 26.45580251836064, -80.00810198756631 26.41580251836064))"
94,2017-03-20T15:12:12,POINT (-79.99697184272104 26.1459823440221),"POLYGON ((-80.01697184272103 26.1259823440221, -79.97697184272104 26.1259823440221, -79.97697184272104 26.1659823440221, -80.01697184272103 26.1659823440221, -80.01697184272103 26.1259823440221))"
95,2017-03-20T15:13:57,POINT (-79.96891429114777 26.36658744768258),"POLYGON ((-79.98891429114776 26.34658744768258, -79.94891429114777 26.34658744768258, -79.94891429114777 26.38658744768258, -79.98891429114776 26.38658744768258, -79.98891429114776 26.34658744768258))"
96,2017-03-20T15:12:16,POINT (-79.94215555981016 26.49006574369414),"POLYGON ((-79.96215555981016 26.47006574369414, -79.92215555981016 26.47006574369414, -79.92215555981016 26.51006574369414, -79.96215555981016 26.51006574369414, -79.96215555981016 26.47006574369414))"
97,2017-03-29T22:18:06,POINT (-79.94756047140949 26.70008743099022),"POLYGON ((-79.96756047140948 26.68008743099022, -79.92756047140949 26.68008743099022, -79.92756047140949 26.72008743099022, -79.96756047140948 26.72008743099022, -79.96756047140948 26.68008743099022))"
98,2017-03-29T22:18:00,POINT (-79.95636915029581 26.70351465628567),"POLYGON ((-79.97636915029581 26.68351465628567, -79.93636915029582 26.68351465628567, -79.93636915029582 26.72351465628567, -79.97636915029581 26.72351465628567, -79.97636915029581 26.68351465628567))"
99,2017-04-03T20:28:47,POINT (-80.01769046501086 25.7412426966049),"POLYGON ((-80.03769046501085 25.7212426966049, -79.99769046501086 25.7212426966049, -79.99769046501086 25.7612426966049, -80.03769046501085 25.7612426966049, -80.03769046501085 25.7212426966049))"
100,2017-04-05T15:14:10,POINT (-80.02896630268981 26.06794805731261),"POLYGON ((-80.04896630268981 26.04794805731261, -80.00896630268981 26.04794805731261, -80.00896630268981 26.08794805731261, -80.04896630268981 26.08794805731261, -80.04896630268981 26.04794805731261))"
101,2017-04-05T15:13:14,POINT (-80.02992427963571 26.12357365393037),"POLYGON ((-80.0499242796357 26.10357365393037, -80.00992427963571 26.10357365393037, -80.00992427963571 26.14357365393037, -80.0499242796357 26.14357365393037, -80.0499242796357 26.10357365393037))"
102,2017-04-05T15:13:40,POINT (-80.08888530407681 25.83371508398433),"POLYGON ((-80.10888530407681 25.81371508398433, -80.06888530407682 25.81371508398433, -80.06888530407682 25.85371508398433, -80.10888530407681 25.85371508398433, -80.10888530407681 25.81371508398433))"
103,2017-04-05T15:14:08,POINT (-80.12665382425335 25.72649336934591),"POLYGON ((-80.14665382425335 25.70649336934591, -80.10665382425336 25.70649336934591, -80.10665382425336 25.74649336934591, -80.14665382425335 25.74649336934591, -80.14665382425335 25.70649336934591))"
104,2017-04-05T15:14:02,POINT (-80.05083357860833 25.97390101110024),"POLYGON ((-80.07083357860833 25.95390101110024, -80.03083357860834 25.95390101110024, -80.03083357860834 25.99390101110023, -80.07083357860833 25.99390101110023, -80.07083357860833 25.95390101110024))"
105,2017-04-05T15:13:30,POINT (-80.04957031230487 25.75431487653389),"POLYGON ((-80.06957031230486 25.73431487653389, -80.02957031230487 25.73431487653389, -80.02957031230487 25.77431487653389, -80.06957031230486 25.77431487653389, -80.06957031230486 25.73431487653389))"
